FECHA_BALANCE,CODIGO_CUENTA,Título_Nombre,Subtítulo_Nombre,Ítem_Nombre,Asignación_Nombre,Denominación_Cuenta_Base,PRESUPUESTO_INICIAL,PRESUPUESTO_VIGENTE,SALDO_PRESUPUES.,DEVENGADO_PARCIAL,DEVENGADO_ACUMULADO,PERCIBIDO_PARCIAL,PERCIBIDO_ACUMULADO,%_ACUMULADO,POR_PERCIBIR_A_LA_FECHA
28/02/2026,115-03-01-001-001-001,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES MUNICIPALES FUERA DE ROL,700000000,700000000,592959605,49132360,107040395,49132360,107040395,15.0,0
28/02/2026,115-03-01-001-001-002,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES MUNICIPALES ENROLADAS,3517000000,3517000000,2074911273,333389241,1442088727,333389241,1442088727,41.0,0
28/02/2026,115-03-01-001-001-003,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES PRIMER SEMESTRE,0,0,0,0,0,0,0,,0
28/02/2026,115-03-01-001-001-004,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,REMATE PATENTES ALCOHOLICAS                       ,0,0,0,0,0,0,0,,0
28/02/2026,115-03-01-001-001-005,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTES MINERAS                                  ,35000000,35000000,35000000,0,0,0,0,,0
28/02/2026,115-03-01-001-001-006,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,B.N.U.P. ENROLADOS                      ,1000000,1000000,-23720686,10097396,24720686,10097396,24720686,2472.0,0
28/02/2026,115-03-01-001-001-007,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,B.N.U.P. NO ENROLADOS                             ,2000000,2000000,587643,34820,1412357,34820,1412357,71.0,0
28/02/2026,115-03-01-001-001-008,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,CONVENIOS PATENTES MUNICIPALES          ,45000000,45000000,44630588,0,369412,0,369412,1.0,0
28/02/2026,115-03-01-001-001-009,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,PATENTE PROVISORIA,0,0,-4017868,1282903,4017868,1282903,4017868,,0
28/02/2026,115-03-01-001-002-000,INGRESO PRESUPUESTARIO,TRIBUTOS SOBRE EL USO DE BIENES Y REALIZ. DE ACTIV,PATENTES Y TASAS POR DERECHO,PATENTES MUNICIPALES,DE BENEFICIO FONDO COMUN,0,0,0,0,0,0,0,,0
